latitude,longitude,depth,mag,nst,gap,dmin,rms,horizontalError,depthError,magError,magNst
57.3657,-154.9435,72.6,0.4,,,,0.84,,1.6,,
38.8143349,-122.8246689,1.86,0.77,8,76,0.01193,0.01,0.49,1.39,0.09,8
33.4611667,-116.614,11.06,0.13,13,99,0.1061,0.38,1.26,2.55,0.044,3
38.7746658,-122.7181702,2.6,0.73,6,131,0.01406,0.02,0.48,0.69,0.3,6
38.8283348,-122.8014984,1.55,0.49,9,81,0.008319,0.01,0.43,1.26,0.32,10
38.8271675,-122.8014984,1.61,1.6,25,53,0.007685,0.02,0.18,0.36,0.14,28
38.8235016,-122.8531647,2.18,0.6,8,128,0.004969,0.01,0.39,0.97,0.13,9
38.8325005,-122.8014984,2.43,0.69,10,93,0.01052,0.01,0.4,1.35,0.11,12
33.3291667,-115.8476667,9.98,1.36,9,176,0.2383,0.15,1.72,31.61,0.253,27
33.6861667,-116.7908333,14.16,0.86,19,99,0.06861,0.17,0.32,0.44,0.218,16
58.1823,-155.3283,1.2,0.5,,,,0.22,,1.1,,
63.2753,-152.5316,23.4,2.5,,,,0.86,,0.3,,
35.4205,-117.722,8.04,2.27,34,41,0.06731,0.17,0.24,0.78,0.256,25
17.99616667,-66.80666667,16.78,2.21,7,178,0.07221,0.14,0.57,1.04,0.108855298,4
62.3075,-148.6982,8.9,1,,,,0.28,,0.5,,
38.8333321,-122.8021698,2.25,0.94,15,98,0.01054,0.01,0.29,0.7,0.25,16
10.959,-62.5429,107.623,4.6,43,84,1.456,0.94,10.55,9.547,0.084,43
42.0674,142.5773,69.328,4.5,53,116,0.435,0.61,6.95,8.673,0.084,41
64.9892,-147.3646,2,1.4,,,,0.53,,0.7,,
19.21266747,-155.375,32.16999817,2.22,45,165,,0.129999995,0.63,0.699999988,1.11,5
-24.2724,-67.3421,207.111,4.3,24,93,1.522,0.64,10.97,15.429,0.218,6
19.17966667,-155.4953333,30.77,3.05,63,83,,0.11,0.41,0.5,0.212629417,41
17.557,122.2825,10,4.5,40,125,5.354,0.59,11.18,1.917,0.104,27
58.4642,-154.5084,7.2,1.1,,,,0.19,,0.9,,
63.2426,-149.8361,81.2,1.2,,,,0.61,,0.8,,
37.8991661,-122.2273331,8.88,0.74,7,143,0.02753,0.05,0.73,0.72,0.06,4
19.72966667,-65.74783333,20.08,3.39,14,286,1.448,0.27,1.27,23.79,0.091484763,9
38.8274994,-122.8016663,1.75,1.07,24,36,0.007741,0.01,0.19,0.38,0.17,25
58.2567,-155.1217,1.7,1.4,,,,0.35,,0.4,,
58.2513,-155.1526,1.1,1,,,,1.13,,1.5,,
58.2775,-155.0809,0.2,2,,,,0.95,,0.3,,
-23.3604,171.0727,10,5,34,112,3.423,0.41,8.28,1.87,0.108,27
62.7978,-149.5588,67.5,0.9,,,,0.2,,1.6,,
49.09866667,-122.1743333,-0.68,1.18,9,195,0.1163,0.28,0.89,31.61,0.055262983,4
44.7518333,-110.7845,2.35,0.36,9,104,0.05951,0.1,0.39,31.61,0.232,6
37.2748,-117.6058,8.3,2.1,8,106.88,0.053,0.1122,,3.7,0.77,7
40.1506667,-123.8453333,23.48,1.86,15,74,0.06185,0.1,0.38,0.55,0.289,12
38.8330002,-122.8031693,2,1.09,14,62,0.011,0.01,0.32,0.55,0.16,16
-4.7258,131.2995,59.485,4.4,15,125,1.405,0.68,5.68,11.039,0.178,9
38.8376656,-122.7990036,1.92,0.36,8,122,0.006804,0.02,0.5,1.31,0.19,9
62.0015,-148.2988,33.7,3,,,,0.58,,0.3,,
33.6391667,-116.7118333,14.08,1.91,62,39,0.04343,0.14,0.13,0.21,0.266,25
34.5126667,-118.8445,10.52,1.29,22,47,0.06834,0.22,0.32,0.52,0.128,13
19.40916667,-155.2951667,1.99,2.12,29,49,,0.1,0.2,0.16,0.156403122,13
51.6839,179.1983,18.867,2.9,14,134,0.312,0.35,5.41,6.539,0.091,16
55.3384,-157.4786,0.2,2.8,,,,0.53,,1.3,,
38.8264999,-122.7926636,1.51,0.93,14,62,0.0162,0.02,0.29,0.89,0.22,14
36.9821663,-121.626503,7.62,1.17,10,95,0.04457,0.14,0.5,1.18,0.23,9
58.26833333,-155.1436667,32.87,0.26,14,80,,0.17,0.54,0.81,0.317858946,13
19.40649986,-155.2655029,0.709999979,1.80999994,15,57,,0.180000007,0.2,0.409999996,1.01999998,13
63.5685,-147.5517,0.4,1.4,,,,0.9,,0.5,,
58.195,-155.3043333,2.42,-0.02,8,144,,0.1,0.32,0.39,0.319827804,8
58.16833333,-155.2935,0.5,-0.3,5,171,,0.03,0.24,1.56,0.176264949,5
58.188,-155.2828333,1.38,-0.13,5,146,,0.02,0.21,0.77,0.148799176,5
58.189,-155.2815,1.8,0.2,9,91,,0.07,0.19,0.44,0.273000865,9
19.22400093,-155.245163,28.52000046,2.02999997,41,203,,0.109999999,0.75,0.639999986,1.12,19
34.0355,-116.8393333,20.52,0.96,19,138,0.02621,0.13,0.31,0.61,0.117,15
58.26,-154.984,3.86,-0.01,8,141,,0.07,0.28,0.64,0.316203859,10
58.17833333,-155.335,2.33,0.52,9,95,,0.09,0.31,0.43,0.198981326,9
58.177,-155.3303333,1.37,0.08,5,124,,0.04,0.27,0.92,0.113633973,5
58.25016667,-155.0568333,3.72,0.56,12,115,,0.09,0.27,0.48,0.265198358,12
33.4818333,-116.4398333,10.2,1.19,33,70,0.04311,0.21,0.27,0.46,0.168,27
39.3706,-99.0031,8.876,3.2,27,47,0.797,0.77,2.5,7.271,0.043,141
38.8380013,-122.8105011,1.64,0.27,6,152,0.01459,0.01,0.81,1.66,0.17,7
33.2243333,-117.1795,-0.33,0.9,26,103,0.06575,0.22,0.49,31.61,0.152,8
33.9526667,-116.6453333,11.42,2.22,87,23,0.05845,0.14,0.1,0.32,0.158,95
66.2952,-157.4664,0,2.3,,,,0.88,,0.5,,
38.8463326,-122.8148346,1.24,1.08,20,54,0.01065,0.02,0.19,0.42,0.21,22
33.472,-116.8746667,11.65,0.47,25,60,0.03222,0.11,0.18,0.34,0.081,7
34.852,-118.7815,-1.19,1.37,31,53,0.07517,0.18,0.28,31.61,0.098,20
58.246,-155.1295,2.9,-0.14,5,218,,0.08,0.46,0.89,0.247105852,5
