GF,W,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,MaxPd,MaxV2d,MaxV3d,MaxM2d,MaxM3d,MaxTd,MaxPc,MaxV2c,MaxV3c,MaxM2c,MaxM3c,MaxTc,U1,U2,U3,R1,R2,R3
1,217194.8368,8902.792894,18166.58918,15009.43891,21705.91043,21419.80369,21976.11051,22990.83857,20379.57841,19835.14794,18651.68638,18337.57602,9819.363893,4276746.932,1779672.36,218567.3171,72021203.81,587988864.3,2276384.351,4726423.273,32943.35145,84994.60122,77132600.6,16352115.66,18977222.89,0.004740291,0.000941278,-0.003302354,1.85E-06,6.22E-06,6.22E-06
2,217452.3885,8544.50933,18289.55654,16957.71313,20250.32524,22100.2358,19731.93092,22407.23068,22282.6834,22413.36824,16418.80615,16476.19338,11579.83568,4279061.9,1780922.076,219386.8021,72375359.45,588635357.1,2278324.261,4726339.482,32974.858,84253.44621,76460002.43,16526928.89,18980493.76,0.004698955,0.000949027,-0.003302355,1.89E-06,6.22E-06,6.22E-06
2,217010.8737,11875.88342,17429.9838,16443.04401,21601.74496,22159.0133,20150.36714,21723.16377,19582.51197,22888.22152,17907.12523,15520.88652,9728.928022,4276963.19,1775708.291,217748.9891,71557352.64,587414105.7,2261548.718,4722474.261,32489.82835,81906.76819,74330392.13,15993020.44,18274614.13,0.004568077,0.000948798,-0.003302354,1.87E-06,5.99E-06,5.99E-06
2,215455.8633,11455.06909,18199.81369,18256.86717,20333.52945,19359.99305,20239.52983,21527.66995,22789.42244,19100.50248,18039.75078,15033.11119,11120.60417,4274313.473,1778566.617,218489.6437,72141954.58,587595784.3,2269844.921,4721323.384,32081.24231,82170.45353,74569686.58,16088247.8,18607320.14,0.004582783,0.00095613,-0.003302354,1.87E-06,6.10E-06,6.10E-06
1,207553.391,8914.118447,17351.45462,15775.40894,22824.91375,18962.78193,19483.31709,21392.48028,19951.55942,19283.91439,15607.93434,18931.40472,9074.103036,4265215.118,1771296.07,216208.4739,71123663.07,585630885.1,2245024.86,4714420.694,30851.46679,78732.32148,71449581.74,15198372.11,17624492.46,0.004391033,0.000906327,-0.003302354,1.79E-06,5.78E-06,5.78E-06
2,212384.9687,10388.78421,17031.85676,18554.49006,21706.241,19159.05906,20904.13635,18774.54434,20642.3542,22691.55946,14987.03814,18959.24564,8585.659484,4268665.611,1770560.591,216243.552,70796409.1,586167162.5,2242525.178,4715949.191,31240.61354,79110.94061,71793178.6,15404778.58,17544968.37,0.004412149,0.000926041,-0.003302354,1.81E-06,5.75E-06,5.75E-06
2,211445.8819,11884.74444,18274.93241,16780.83268,20199.35159,19272.26749,21149.64661,19599.88851,19207.17254,22054.30086,16793.95362,17971.05874,8257.732358,4265140.677,1769816.461,215933.1027,70822371.96,585597386.7,2239988.585,4714155.961,30893.09796,78249.10287,71011060.85,15192258.09,17423008.77,0.004364083,0.000903793,-0.003302355,1.79E-06,5.71E-06,5.71E-06
2,210121.6637,9050.052496,17001.24325,17553.31649,20413.03277,21669.76607,19259.84117,18997.80222,18888.88319,21117.45819,18693.79112,17357.10242,10119.3743,4267863.415,1770820.566,216273.9471,71020913.32,585908386.4,2242859.801,4713808.116,30899.61936,78285.57759,71044161.66,15285989.33,17520595.23,0.004366117,0.000923451,-0.003302356,1.82E-06,5.74E-06,5.74E-06
2,214623.3835,11649.37404,15883.55465,17348.97535,20815.30068,22352.78342,18915.57437,21917.94918,21110.57615,20564.73511,18193.64852,16521.53404,9349.378001,4274833.057,1776878.365,218151.398,71730139.24,587597847.2,2264190.134,4722368.363,32366.96585,82226.90369,74620915.1,16060739.3,18407808.7,0.004585931,0.000932955,-0.003302355,1.86E-06,6.03E-06,6.03E-06
2,211578.294,11624.6308,18385.45905,15814.93632,20217.09288,22925.6196,20018.57586,19369.89626,21972.43723,19937.36562,16239.94881,14795.87273,10276.45882,4270989.431,1776324.369,217715.9939,71747081.8,587058511.5,2261987.787,4720689.83,31892.64011,81921.73095,74343970.84,15863293.89,18321727.36,0.004568911,0.000917655,-0.003302354,1.81E-06,6.01E-06,6.01E-06
