"GF","W","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","MaxPd","MaxV2d","MaxV3d","MaxM2d","MaxM3d","MaxTd","MaxPc","MaxV2c","MaxV3c","MaxM2c","MaxM3c","MaxTc","U1","U2","U3","R1","R2","R3"
"1","214665.41232865","10073.166812847","16259.285845177","15558.524063492","19604.108464348","22649.902849892","21644.728975343","20739.473861567","22680.434494002","19145.03409592","18051.645488335","18011.053009952","10248.054367774","4276319.9166077","1780807.3108992","218732.92751379","72215965.892561","587909929.15651","2279342.8298639","4726342.2461762","32822.689744328","85209.955571163","77328034.680829","16320518.72233","19080559.530941","0.004752301","0.000945675","-0.003302354","1.837E-6","6.254E-6","6.254E-6"
"3","217951.78188014","11150.102468618","15155.405318262","17703.971167583","20967.011202377","19443.373427104","22823.83659756","21290.757034467","20630.755960508","22838.640263994","17678.943407826","16780.574885205","11488.410146634","4276576.8437245","1776307.2176552","217890.47499246","71601344.526222","587663679.22851","2264548.0528894","4723666.4830755","32662.848257488","82805.208286989","75145726.520441","16160612.014856","18465074.797669","0.004618184","0.000942741","-0.003302354","1.871E-6","6.052E-6","6.052E-6"
"4","211703.46946484","8113.218856557","15699.247250766","18193.783404877","22704.949242792","22126.82234379","19987.933279725","19356.879227289","22413.871211594","22136.94085065","15979.443470169","15790.503830337","9199.876496294","16996732.226895","4690291.9060704","875025.76416263","711098342.08461","1440348896.835","27646467.076656","9318692.9748514","3876676.9715247","601421.08033701","328228528.11683","1193919086.0322","18333698.269528","0.186983007","1.517879479","0.000330121","0.001725456","6.009E-6","6.009E-6"
"1","217194.83682782","8902.792893709","18166.58917777","15009.438914361","21705.910432546","21419.803688689","21976.110511374","22990.838572856","20379.578409382","19835.147938719","18651.686380001","18337.576015729","9819.363892683","4276746.9317072","1779672.3604513","218567.31711852","72021203.809996","587988864.26404","2276384.3508334","4726423.2734835","32943.351446542","84994.601215732","77132600.603275","16352115.657205","18977222.886397","0.004740291","0.000941278","-0.003302354","1.852E-6","6.22E-6","6.22E-6"
"2","217452.3884815","8544.509329692","18289.556537442","16957.713129806","20250.32523951","22100.235795506","19731.930920586","22407.230676965","22282.68339581","22413.368242918","16418.8061509","16476.193382488","11579.835679874","4279061.8998185","1780922.0758829","219386.80206514","72375359.450241","588635357.12173","2278324.2606901","4726339.4824781","32974.857998872","84253.446206552","76460002.432445","16526928.887853","18980493.757","0.004698955","0.000949027","-0.003302355","1.891E-6","6.221E-6","6.221E-6"
"3","217010.87367238","11875.883423553","17429.983797876","16443.044007426","21601.744963778","22159.013299606","20150.367143831","21723.163774299","19582.511971542","22888.221518146","17907.125227604","15520.886522921","9728.928021794","4276963.1897484","1775708.2906108","217748.98911457","71557352.637947","587414105.6684","2261548.7181644","4722474.2614013","32489.828350001","81906.768191471","74330392.133759","15993020.439383","18274614.134891","0.004568077","0.000948798","-0.003302354","1.87E-6","5.99E-6","5.99E-6"
"4","222493.44658634","10714.809988602","18829.754975207","14820.483567113","21986.412074073","22221.568230871","22699.092146017","22993.989058917","19219.350453224","20981.914551123","18420.068964252","17603.269528891","12002.733048048","16998850.175685","4696406.9909152","876513.05240407","712104269.32534","1441018809.7168","27666035.888719","9323246.6531387","3877297.4052572","604841.69071238","330355007.56652","1194059428.8533","19269074.508004","0.18717378","1.517897859","0.000330122","0.001725489","6.316E-6","6.316E-6"
"3","214791.32903217","8659.375551967","18962.429659134","17680.778904806","21042.674902492","22466.836988764","21111.119497703","18783.003561207","20787.895358033","22201.782667016","17988.94933963","17277.431344642","7829.051256777","4277456.2184325","1777205.3625839","218383.7873149","71951761.492669","587703799.73956","2264540.1335501","4721350.8376471","32294.757663717","81272.316063358","73754626.827496","16042294.833129","18391508.284162","0.004532693","0.00095575","-0.003302355","1.896E-6","6.028E-6","6.028E-6"
"4","214488.60870745","8717.766789708","18983.112687124","18856.686415534","20288.854638921","20197.848815342","21718.186878461","21822.7673933","22188.850806516","21285.341172475","15214.818682072","17235.998632742","7978.375795257","16996020.830444","4693910.0437461","875949.30211993","711756642.9564","1440407935.984","27657303.06101","9320647.4743992","3876835.9598777","603443.31674641","329485685.0844","1193969886.626","18882086.509522","0.187095791","1.517883662","0.000330121","0.001725458","6.189E-6","6.189E-6"
"4","215113.68382965","9240.762920091","19103.664935692","16857.67281848","21949.888032206","21614.226791944","22162.58867968","19879.593677295","19929.228730951","21820.667727254","15595.901474441","18428.936599024","8530.55144259","16993057.104812","4692116.9820553","875686.08943047","711630154.9192","1440374385.5096","27650137.675186","9318073.5100604","3876314.7410009","601326.30496662","328169609.42822","1193844557.3589","18496255.582811","0.186977721","1.517863485","0.000330121","0.001725464","6.063E-6","6.063E-6"
