Time,Latitude,Longitude,Depth/Km,Magnitude,errorMag
36:32.0,42.6983,13.2335,8.1,6,0.023445679
37:26.6,42.7123,13.2533,9,4.5,0.033445679
40:46.6,42.7647,13.1723,9.7,3.8,0.043445679
41:38.9,42.7803,13.1683,9.7,3.9,0.053445679
42:07.2,42.7798,13.1575,9.7,3.6,0.063445679
43:58.7,42.7298,13.2137,10.7,3.4,0.073445679
44:38.7,42.676,13.2858,10.8,2.7,0.083445679
44:56.4,42.6282,13.2648,10.6,3.2,0.093445679
46:12.2,42.7645,13.1777,6.6,3.7,0.103445679
46:46.0,42.7445,13.2097,12.4,2.8,0.113445679
47:51.5,42.6675,13.3238,6.5,3.3,0.123445679
52:25.7,42.7447,13.2827,7.9,2.9,0.133445679
52:43.2,42.6378,13.2313,10.9,3.1,0.143445679
55:20.4,42.7895,13.1453,11.1,3,0.153445679
55:44.6,42.7217,13.2497,6.3,3.5,0.163445679
56:00.6,42.6008,13.2763,7.7,4.3,0.173445679
57:23.1,42.7165,13.2208,8.5,3.4,0.183445679
59:05.8,43.1615,12.8797,18.7,2,0.193445679
59:23.6,42.6307,13.2283,10.7,2.8,0.203445679
00:00.4,42.6125,13.2497,11.2,2.9,0.213445679
01:08.1,42.7988,13.2412,6.9,3.9,0.223445679
03:56.2,42.6253,13.2545,12.7,2.6,0.233445679
04:05.9,42.7928,13.1333,9.8,2.8,0.243445679
04:18.9,42.7892,13.1233,10.1,3.1,0.253445679
04:50.4,42.6322,13.3002,7.1,2.9,0.263445679
05:55.9,42.6162,13.2812,6.7,3.9,0.273445679
07:30.3,42.6632,13.2957,6.4,3.8,0.283445679
08:04.8,42.7918,13.1437,10.2,3.2,0.293445679
09:08.8,42.6228,13.2665,10.2,2.7,0.303445679
09:56.6,42.7352,13.1897,11.4,3.6,0.313445679
10:37.8,42.718,13.2885,9.9,2.7,0.323445679
10:56.0,42.7558,13.1927,9.5,3.8,0.333445679
11:17.7,42.2743,13.391,9.2,3.1,0.343445679
11:51.6,42.7198,13.2115,10.7,2.4,0.353445679
12:12.2,42.8068,13.1488,8.9,3.5,0.363445679
13:10.1,42.7035,13.2273,6.2,2.7,0.373445679
13:57.3,42.7678,13.1538,9.3,3.7,0.383445679
15:15.4,42.8002,13.1663,7.5,3.7,0.393445679
16:30.0,42.6753,13.2607,12.1,2.7,0.403445679
17:01.7,42.638,13.2458,11.5,2.4,0.413445679
18:01.7,42.7828,13.1663,10.2,2,0.423445679
