Time,Latitude,Longitude,Depth/Km,Magnitude,errorMag
36:32.0,42.6983,13.2335,8.1,6.0,0.023445679
37:26.6,42.7123,13.2533,9.0,4.5,0.033445679
40:46.6,42.7647,13.1723,9.7,3.8,0.043445679
41:38.9,42.7803,13.1683,9.7,3.9,0.053445679
42:07.2,42.7798,13.1575,9.7,3.6,0.063445679
43:58.7,42.7298,13.2137,10.7,3.4,0.073445679
44:38.7,42.676,13.2858,10.8,2.348573251370695,0.083445679
44:56.4,42.6282,13.2648,10.6,2.3098150706010308,0.093445679
46:12.2,42.7645,13.1777,6.6,3.7,0.103445679
46:46.0,42.7445,13.2097,12.4,2.678975044400718,0.113445679
47:51.5,42.6675,13.3238,6.5,3.3,0.123445679
52:25.7,42.7447,13.2827,7.9,2.9502495882128894,0.133445679
52:43.2,42.6378,13.2313,10.9,2.9437325276573096,0.143445679
55:20.4,42.7895,13.1453,11.1,2.069163395653946,0.153445679
55:44.6,42.7217,13.2497,6.3,3.5,0.163445679
56:00.6,42.6008,13.2763,7.7,4.3,0.173445679
57:23.1,42.7165,13.2208,8.5,3.4,0.183445679
59:05.8,43.1615,12.8797,18.7,2.2640297133477483,0.193445679
59:23.6,42.6307,13.2283,10.7,2.684751208785431,0.203445679
00:00.4,42.6125,13.2497,11.2,2.1444993343873566,0.213445679
01:08.1,42.7988,13.2412,6.9,3.9,0.223445679
03:56.2,42.6253,13.2545,12.7,2.871896642388875,0.233445679
04:05.9,42.7928,13.1333,9.8,2.941559667022115,0.243445679
04:18.9,42.7892,13.1233,10.1,2.700260704377288,0.253445679
04:50.4,42.6322,13.3002,7.1,2.8903280344132325,0.263445679
05:55.9,42.6162,13.2812,6.7,3.9,0.273445679
07:30.3,42.6632,13.2957,6.4,3.8,0.283445679
08:04.8,42.7918,13.1437,10.2,2.8683326731267913,0.293445679
09:08.8,42.6228,13.2665,10.2,2.566810897366997,0.303445679
09:56.6,42.7352,13.1897,11.4,3.6,0.313445679
10:37.8,42.718,13.2885,9.9,3.197255947017517,0.323445679
10:56.0,42.7558,13.1927,9.5,3.8,0.333445679
11:17.7,42.2743,13.391,9.2,2.7350118197272653,0.343445679
11:51.6,42.7198,13.2115,10.7,2.6588066457653614,0.353445679
12:12.2,42.8068,13.1488,8.9,3.5,0.363445679
13:10.1,42.7035,13.2273,6.2,2.8139934397113637,0.373445679
13:57.3,42.7678,13.1538,9.3,3.7,0.383445679
15:15.4,42.8002,13.1663,7.5,3.7,0.393445679
16:30.0,42.6753,13.2607,12.1,2.717179041749752,0.403445679
17:01.7,42.638,13.2458,11.5,2.4464407970482736,0.413445679
18:01.7,42.7828,13.1663,10.2,2.6881245614288423,0.423445679
19:44.0,42.6403,13.2362,10.4,3.8,0.433445679
21:53.0,42.6452,13.2237,13.0,3.1387339373133982,0.443445679
22:39.6,42.7293,13.2038,10.6,2.5759915961520043,0.453445679
23:16.9,42.75,13.2458,10.5,2.6504714844700077,0.463445679
23:40.5,42.8273,13.2442,7.6,3.3,0.473445679
24:43.3,42.6153,13.2673,10.7,2.16182974960472,0.483445679
27:17.8,42.6478,13.2547,10.0,2.670754171778996,0.493445679
27:51.4,42.7955,13.2262,6.7,2.410704746726216,0.503445679
28:02.2,42.7977,13.1613,7.7,3.1578828859151704,0.513445679
28:58.3,42.6197,13.2663,10.7,3.0871845655183336,0.523445679
30:50.1,42.832,13.1438,8.0,3.4,0.533445679
31:39.1,42.803,13.231,8.6,2.5395025190356275,0.543445679
32:29.0,42.8115,13.1438,9.1,2.8929012177927316,0.553445679
33:28.9,42.7922,13.1507,8.0,5.4,0.563445679
36:15.9,42.7807,13.1657,9.7,2.036841364087606,0.573445679
36:43.6,42.7852,13.1558,10.1,2.8423896350822977,0.583445679
38:02.5,42.7647,13.1727,9.6,3.038829283087148,0.593445679
