Time,Latitude,Longitude,Depth/Km,Magnitude,magError
36:32.0,42.6983,13.2335,8.1,6,0
37:26.6,42.7123,13.2533,9,4.5,0.5
40:46.6,42.7647,13.1723,9.7,3.8,0.7
41:38.9,42.7803,13.1683,9.7,3.9,0.8
42:07.2,42.7798,13.1575,9.7,3.6,0.1
43:58.7,42.7298,13.2137,10.7,3.4,0.3
44:38.7,42.676,13.2858,10.8,2.7,0.1
44:56.4,42.6282,13.2648,10.6,3.2,0.16
46:12.2,42.7645,13.1777,6.6,3.7,0.22
46:46.0,42.7445,13.2097,12.4,2.8,0.28
47:51.5,42.6675,13.3238,6.5,3.3,0.34
52:25.7,42.7447,13.2827,7.9,2.9,0.4
52:43.2,42.6378,13.2313,10.9,3.1,0.46
55:20.4,42.7895,13.1453,11.1,3,0.52
55:44.6,42.7217,13.2497,6.3,3.5,0.58
56:00.6,42.6008,13.2763,7.7,4.3,0.64
57:23.1,42.7165,13.2208,8.5,3.4,0.7
59:05.8,43.1615,12.8797,18.7,2,0.3
59:23.6,42.6307,13.2283,10.7,2.8,0.5
00:00.4,42.6125,13.2497,11.2,2.9,0.7
01:08.1,42.7988,13.2412,6.9,3.9,0.8
03:56.2,42.6253,13.2545,12.7,2.6,0.1
04:05.9,42.7928,13.1333,9.8,2.8,0.3
04:18.9,42.7892,13.1233,10.1,3.1,0.1
04:50.4,42.6322,13.3002,7.1,2.9,0.16
05:55.9,42.6162,13.2812,6.7,3.9,0.22
07:30.3,42.6632,13.2957,6.4,3.8,0.28
08:04.8,42.7918,13.1437,10.2,3.2,0.34
09:08.8,42.6228,13.2665,10.2,2.7,0.4
09:56.6,42.7352,13.1897,11.4,3.6,0.46
10:37.8,42.718,13.2885,9.9,2.7,0.52
10:56.0,42.7558,13.1927,9.5,3.8,0.58
11:17.7,42.2743,13.391,9.2,3.1,0.64
11:51.6,42.7198,13.2115,10.7,2.4,0.7
12:12.2,42.8068,13.1488,8.9,3.5,0.3
13:10.1,42.7035,13.2273,6.2,2.7,0.5
13:57.3,42.7678,13.1538,9.3,3.7,0.7
15:15.4,42.8002,13.1663,7.5,3.7,0.8
16:30.0,42.6753,13.2607,12.1,2.7,0.1
17:01.7,42.638,13.2458,11.5,2.4,0.3
18:01.7,42.7828,13.1663,10.2,2,0.1
19:44.0,42.6403,13.2362,10.4,3.8,0.16
21:53.0,42.6452,13.2237,13,2.3,0.22
22:39.6,42.7293,13.2038,10.6,2.8,0.28
23:16.9,42.75,13.2458,10.5,3.2,0.34
23:40.5,42.8273,13.2442,7.6,3.3,0.4
24:43.3,42.6153,13.2673,10.7,3.2,0.46
27:17.8,42.6478,13.2547,10,2.8,0.52
27:51.4,42.7955,13.2262,6.7,3,0.58
28:02.2,42.7977,13.1613,7.7,3.1,0.64
28:58.3,42.6197,13.2663,10.7,3.2,0.7
30:50.1,42.832,13.1438,8,3.4,0.3
31:39.1,42.803,13.231,8.6,3.1,0.5
32:29.0,42.8115,13.1438,9.1,2.5,0.7
33:28.9,42.7922,13.1507,8,5.4,0.8
36:15.9,42.7807,13.1657,9.7,2.8,0.1
36:43.6,42.7852,13.1558,10.1,2.9,0.3
38:02.5,42.7647,13.1727,9.6,3.1,0.1
